Counties,State,OATS 2017,SOYBEANS 2017,WHEAT 2017,CORN 2017,OATS 2012,SOYBEANS 2012,WHEAT 2012,CORN 2012,OATS 2007,SOYBEANS 2007,WHEAT 2007,CORN 2007,OATS 2002,SOYBEANS 2002,WHEAT 2002,CORN 2002,OATS 1997,SOYBEANS 1997,WHEAT 1997,CORN 1997
Clark ,Indiana,,1676717,217820,3255499,,850666,167776,1291650,,592494,130231,2362509,,902910,128327,1201460,1450,944921,249207,1552040
Benton ,Missouri,,713495,137463,1447980,,369659,215892,328804,,512102,271510,961169,5285,527495,266545,807604,2594,522163,294793,468200
Berrien ,Michigan,,1887041,64038,7476440,7966,1687471,191880,6185013,3396,1664741,184103,6237095,6488,1995799,143002,4866156,12330,1621233,248756,5112663
Blackford ,Indiana,,2562596,149939,5942659,,2392577,101263,3889154,21414,1848876,107031,4496921,,2394189,46144,2751191,4500,1551883,161794,3391371
Bollinger ,Missouri,,1225043,151162,1353989,,667317,185640,525806,,422435,131497,1861813,,680183,103907,1046525,2102,558008,211100,1267635
Boone ,Indiana,,6134120,182296,17087994,,3925683,173626,10159851,,4025789,169835,17549798,,5227492,127513,14310066,,4310493,258229,11709319
Boone ,Missouri,,2251390,638549,4581781,740,1170851,426816,1383082,,1330077,589222,2978389,1900,1621421,374423,1954275,6082,1353335,664853,1454227
Brown ,Illinois,,1748521,46038,6203520,,957927,60324,2957894,3622,984118,167527,7998358,5040,1239170,98883,4943869,9122,1387150,277960,4617725
Brown ,Indiana,,75167,,94683,,40965,,85991,,28731,,277313,,68881,,200332,,45280,,192449
Brown ,Ohio,,4833548,89728,3753038,,3613669,70596,2788493,,3084210,59712,4847919,2090,2759628,64898,1551723,6680,1807650,109115,2804955
Clark ,Ohio,,4032237,210128,12020950,2226,2731329,148658,9417717,,3072170,229262,11762023,1440,2288978,220878,6528992,8597,3066548,433173,9106083
Butler ,Missouri,,5648105,277944,3902899,,3612548,695000,3604861,,3614533,702754,4229023,1212,3454396,606924,1592510,,3296200,825124,2522859
Callaway ,Missouri,,3250196,773926,5077924,,1361316,428384,1473428,6250,1507920,450821,2882444,21432,2355238,320693,2775861,13525,1949927,661088,2036380
Carroll ,Missouri,,7234224,208882,17088874,4630,4084689,329085,7454019,13101,4822651,586422,7921834,30639,4862286,446863,9508574,33180,4232241,1607826,6700238
Cass ,Illinois,,3852276,86233,16918946,,1746126,60723,10120920,,1842138,152346,15727802,1484,2952776,125330,11896939,12902,2454427,298521,8852020
Cass ,Indiana,,4028726,205161,16997078,3880,3165411,205443,11188561,,3689358,98185,20222837,10047,3634820,111556,12105487,18129,3451256,298240,11579304
Cass ,Missouri,,3615795,186753,6788799,1640,1884199,448655,1944944,,2053644,508708,4466294,18694,1733557,514271,2758083,34735,2279808,474335,2185920
Champaign ,Ohio,,4226772,218887,13555282,2508,2796044,273352,8948430,4120,3720525,402971,14033503,6638,2384810,344628,5969210,17202,3978151,511545,11510871
Chariton ,Missouri,,5617198,461597,12640073,,3888777,449242,5209695,,4133993,861884,8833578,9020,4192878,699397,7069947,4458,4297936,1470639,6658276
Christian ,Missouri,,5960,,14200,,1528,25690,,,1567,,21562,2000,,11621,36230,1905,,22409,36075
Clark ,Illinois,,6209741,256973,17921640,,3673253,210899,5605771,,3759359,259396,16926305,,4502348,180200,11685290,7000,3790770,613982,11829936
Calhoun ,Illinois,,1534809,86348,3401598,,360560,50692,1843107,,378459,103340,3407926,,610717,34930,1703092,,724631,205849,2195369
Dupage ,Illinois,,20498,,,,,,,,74294,,659631,,80079,,292310,4990,231896,17484,842139
Edgar ,Illinois,,8715226,22446,28979678,,5508885,101853,15193645,27850,6973902,127175,34170805,20519,6947434,74893,21409435,27289,6047205,181559,19651789
Edwards ,Illinois,,2366738,241424,7148443,,1259492,324788,1434343,4800,1298765,277791,4962604,11538,1305374,213536,3355477,,1486053,445719,3583455
Hamilton ,Illinois,,4402088,693825,11006964,,2344477,842032,2361879,,2163667,796836,8936535,1978,2539537,420533,4776007,,2585520,898567,5817352
Hamilton ,Indiana,,3040040,84535,8363094,,2682721,122855,7387570,,2449146,85108,8555031,2650,3000977,120450,6885294,2760,2697706,237548,7385800
Hamilton ,Ohio,,101114,,307381,,92130,3513,263368,,50366,7360,442348,,132039,26949,218509,,221923,32935,392247
Hancock ,Illinois,,10215076,179139,38019250,,5902468,234259,19869026,3254,5421196,637827,30000328,31065,6734011,268613,23032986,47201,6952560,508362,20530759
Hancock ,Indiana,,4056337,252239,11394955,1240,3052747,190432,6935630,3400,3296751,291555,11361190,2640,3048149,139577,7629402,16120,3331396,273306,9019955
Hardin ,Illinois,,210135,8900,,,,,,,89552,,431950,,100327,,173521,,75431,7190,152182
Harrison ,Indiana,,2106570,168757,4602141,,911701,110464,1559290,1700,790196,143210,3409418,3135,696538,158570,1551337,4768,662680,244862,1244059
Harrison ,Iowa,,7199064,,33202086,4691,3930496,,25167451,2775,5756253,17578,23914883,21089,6633689,12408,24459493,31354,6383926,16546,20153771
Henderson ,Illinois,,3717057,74766,19054163,7064,2290048,73056,13117594,,1973600,150586,16520806,14774,2858744,31249,13654755,50039,2656985,61473,12938837
Grundy ,Illinois,,6024867,57414,22195660,6620,3669145,35593,11077737,3502,3467211,68288,23193404,10836,3908890,14365,12978158,36181,3723061,24615,12300097
Hendricks ,Indiana,,3504497,71896,11826443,,2459016,257633,6473822,,3131709,364416,11872601,,3830406,161011,10226771,8210,2842916,288983,8260271
Henry ,Ohio,,5428300,1709815,13052778,1926,5054439,1674316,8101206,4855,4587202,2182477,11808181,8783,4328572,1974493,8656206,8563,4424315,2524283,11192187
Hickory ,Missouri,,215693,8100,191491,1500,44574,91332,45078,,33444,,,,23140,11842,117302,890,50705,6025,18795
Hocking ,Ohio,,144833,11459,376969,,108635,7814,206661,,82667,12137,358089,800,74023,17506,296262,2138,62936,18405,388711
Holt ,Missouri,,4936707,21221,17110488,,3078622,27363,7808083,10090,3670898,101885,14462485,15292,3589342,57260,10082114,7776,3757101,61042,10035039
Howard ,Indiana,,4081035,117859,11097420,,3670130,139208,9607110,16440,3294548,144703,12351586,2840,3649236,104814,9239581,20853,3246820,183197,9285055
Huntington ,Indiana,,5079300,300958,10762441,,4059036,264612,8640889,3160,3693225,317441,12020408,24060,3925024,252997,5379427,31702,3415160,479626,8373665
Iron ,Missouri,,11895,,,,,1197,,,,,,,,,,,,,
Iron ,Wisconsin,,2636,,10166,,,,,,,,,5680,,,,9000,,,
Jackson ,Missouri,,1508150,124812,3308425,,1064579,154299,1142524,,1680682,468956,2969552,,1238325,322482,1880313,,1704939,555146,1574050
Henry ,Iowa,,4825600,,17444970,7562,3505221,,11762917,33653,3242067,,15474543,39379,3375248,5800,12463689,74548,3430438,31766,11417437
Greene ,Ohio,,4040523,206731,11752507,2520,2368863,177889,7139233,,2963318,216241,9744602,,2540782,150569,6279334,27121,3091931,421891,8904487
Greene ,Missouri,,160961,84044,271564,,72886,80823,85115,,12996,22430,35215,6100,31492,33406,156963,3610,31712,148697,87237
Greene ,Indiana,,2303796,22239,8529902,,1901711,104331,3836695,1600,1447510,78576,7550290,1770,1319656,36014,3470418,6265,1562354,140817,4691629
Effingham ,Illinois,,6471188,424450,18738905,5614,4008974,629978,3567582,,2951819,858155,12445120,5256,3505786,524942,8085045,6964,3563801,1186200,8823685
Erie ,Ohio,,1874648,307249,4470458,8890,1243439,442495,3793294,15740,1416501,461431,4340704,2770,1243858,444628,2247056,51942,1397077,440573,3499313
Fairfield ,Ohio,,3567965,400566,10538936,26238,2657720,415281,6424902,14701,2621870,524385,8274489,26288,2012412,638952,5519775,55246,2125872,704384,8764912
Fayette ,Illinois,,7608343,396582,19356291,2760,3426222,592163,3393927,,3148215,1168653,14692833,8660,5027412,817015,9469155,20642,4033253,1914796,9976538
Fayette ,Indiana,,1760176,74186,5646676,,1078938,67956,2477545,,1148428,82256,4569943,,1189814,55808,3231577,6560,1263756,233401,3930834
Fayette ,Ohio,,5378424,430630,13749584,2526,4129598,316841,9539248,1890,4383127,345824,13273149,4540,3660892,484024,7700274,23376,5114129,822718,12325789
Floyd ,Indiana,,232852,5618,657188,,99451,14241,220545,,106769,11262,428030,,111201,17169,184156,,124978,21467,286452
Fountain ,Indiana,,4893294,178150,16374703,,3043683,81460,10952370,,3225130,165653,13777769,850,4129208,86297,11215827,19588,2914686,174664,8573059
Franklin ,Illinois,,4144137,826850,5942584,,1842781,688930,1404297,,2214406,639308,7082452,,1715700,449349,2216539,,2182567,678544,3438962
Franklin ,Indiana,,1901194,120274,5758653,270,1378073,92904,2841691,,924826,95977,4382219,819,1063468,89095,2192157,11387,895456,203472,3515751
Franklin ,Ohio,,1161019,113756,2078041,,974349,115766,1993909,,1147335,120153,2682537,,907895,239119,1408119,3788,1210814,322743,2990012
Fremont ,Iowa,,6538573,,21210110,,4556667,,15756386,,4512167,40635,14739597,1900,4687460,11420,10974422,6224,5171079,12973,15294828
Fulton ,Illinois,,7366937,53686,28476242,6330,3994396,189973,15789335,12903,4102752,205048,27964735,30814,5468040,128497,19231858,56785,5314095,331790,18235346
Fulton ,Indiana,,3960461,140881,19617959,,2723358,75296,11180778,,2690582,100402,13783115,8300,3024603,75238,9275206,9562,2478804,139613,9031943
Fulton ,Ohio,,4128717,876545,13267149,,3623306,953566,8942007,,3028515,1086739,12174621,10862,2666277,760643,7991337,27362,3432218,1023794,10648212
Gallatin ,Illinois,,4258361,470923,14369053,,2487326,450552,8012622,,2260222,415696,14474583,,1735733,242200,5232451,,2819990,753888,7670195
Gallia ,Ohio,,290795,5160,710188,488,127522,1450,388017,,43675,8687,222735,556,82190,8825,178283,,85223,5501,350173
Gasconade ,Missouri,,746854,88455,1240989,,287941,45288,254574,,325781,57646,730280,,396512,65372,433628,1872,275709,125032,673174
Gibson ,Indiana,,5741083,1145518,17864634,,3424225,2060639,9407551,,3218525,1215607,18080741,,2965743,921224,9166427,,3299180,1668914,10624536
Grant ,Indiana,,5732876,192847,10850114,,4737783,182915,8382095,2850,3502197,228924,11356277,14542,5009347,127287,6512956,17605,4313518,238570,9779411
Grant ,Minnesota,,5768640,826139,23136130,4584,4300167,961258,18562884,,3174154,1350102,16279103,10207,4370079,1875347,11736993,17851,3769741,2846820,5938834
Benton ,Indiana,,6683259,125077,23750291,,4540279,146000,16289238,,5447634,85180,24962625,11404,5602085,19478,18233153,18662,5373570,121581,15979660
Jackson ,Ohio,,172878,3751,215569,1274,116673,11127,151805,4518,109022,27468,356736,850,75146,33915,250070,,57069,24656,518318
Bates ,Missouri,,5543340,1009176,11542363,6936,2558474,1170422,3074089,1620,2649903,893477,6699965,16999,2280225,1185729,3467687,17550,2847686,1617070,3222606
Bartholomew ,Indiana,,3918411,468355,10326708,,2500996,496830,6208834,,2095487,200422,10432168,,2747217,204344,5872668,,2503476,398262,7773454
Stoddard ,Missouri,42710,9659511,1597852,12575087,,5262615,1779022,12050883,,4814175,1945879,20021994,10761,5158299,2002645,11955075,1320,5103297,2741720,16340138
Story ,Iowa,25921,5883821,,32251564,8623,4938916,,24978255,15548,5359611,,35527583,48039,6465973,,28027496,60700,6810676,,22562402
Summit ,Ohio,2920,73934,21360,301002,14628,72600,8820,199218,16270,72322,11520,197865,16169,72581,21514,94955,21338,38207,20551,157012
Sutter ,California,17549,,337986,1102871,,,733262,2254762,27001,,1261588,2080287,44125,,827235,1015542,,,1574694,1115228
Swift ,Minnesota,10812,5251564,268922,28510884,55795,4212445,367489,28022935,61286,4174369,806784,23022033,122693,6411410,344224,25185851,83271,5324417,403070,18112846
Tama ,Iowa,32097,8469466,,36092038,31806,7327177,,28079377,60369,7501473,,33475285,123108,7548227,,29103750,167376,6371651,,20736469
Taney ,Missouri,140,,,,,,,,,,,,,,6040,,,8660,19470,
Taylor ,Iowa,9500,4318413,31300,13452426,6350,3090223,24628,6438443,9344,2497797,,10801280,53404,2874987,6607,8582471,73805,2767013,19209,6327068
Taylor ,Wisconsin,91696,1070711,47498,2697784,193173,733920,45243,3082585,264567,372136,40974,2318319,136968,489670,2933,2356091,294337,59125,,1842645
Stephenson ,Illinois,56203,4559484,228670,30646455,63024,3012256,217413,20264297,81470,3563676,244509,34305900,235864,3941951,142721,19851534,372951,2935746,70146,19481144
Tazewell ,Illinois,6322,7543995,131797,30863934,13205,5359961,158290,21650072,10184,5203889,281800,34079448,32812,6578045,140627,22346196,47928,5866957,241021,20013819
Todd ,Minnesota,194557,1910373,242010,8457691,410325,1580883,275042,9905166,446623,766025,260978,4710893,424995,1266234,149020,6438731,616309,507502,129009,6483224
Trempealeau ,Wisconsin,63882,1935699,29327,12800888,98878,1216047,15705,10192359,149318,802971,29264,8996880,190110,1421810,55513,8519761,253773,652844,,7956946
Trumbull ,Ohio,56977,1595804,100279,3933986,122149,1500256,101251,3425629,159114,1338958,166799,3529740,148448,864217,228365,1565726,185362,760338,149613,1835607
Tulare ,California,44072,,1195686,913351,93128,,3246350,3105707,96984,,1763757,2160728,109413,,2570152,590116,52015,,2047403,4250593
Tuscarawas ,Ohio,8295,824986,151300,2693323,39601,573980,112822,1835407,15014,579018,123188,2683811,61331,353111,107485,997039,98765,279869,100412,1875157
Tuscola ,Michigan,59965,3707205,2759305,13378127,130284,3274888,2729804,13874115,59995,2448507,2211918,12801902,133223,3244854,1434624,10367130,88514,2170010,1132738,9611770
Union ,Iowa,17904,2837483,,8425585,29177,1805701,,4139482,31982,1934216,,7315262,103619,1873877,16215,6555852,171502,1738581,5680,4769330
Van Buren ,Iowa,37614,1860036,25913,6285077,24789,1826581,43047,5026363,23145,1625385,85398,7359489,62802,1572488,45604,5323624,72153,2062919,8088,5615262
Van Wert ,Ohio,19799,7243175,772382,12013356,987,5936636,1110575,8855811,1300,5479771,1171866,10042804,41348,5005860,1144304,6365187,63830,4937017,1320650,11137204
Texas ,Missouri,852,,,22425,,,10760,20498,,,,,,,11072,11474,6590,,8401,29528
Vermilion ,Illinois,3000,13153455,146586,41563815,10320,8719495,199126,21889899,10627,9045132,213375,43387538,25596,10120482,131068,30333219,56937,9525688,284788,27950217
Steele ,Minnesota,26384,4749632,19098,25078747,42532,3662087,23932,20635175,73195,4008656,53039,21348211,122067,4831567,20182,18291302,176420,3401288,23387,13761406
Stark ,Ohio,51008,1232400,270283,3730488,126964,1267914,383080,3898790,137510,1256782,403794,4058422,153061,771640,369230,1745818,236760,789127,327387,3356161
Sawyer ,Wisconsin,20782,138269,,841428,3976,106754,6265,786146,15335,11920,,184636,23075,12843,,485890,41305,,,441406
Schoolcraft ,Michigan,14693,,,,16990,,,,67440,,,6560,33263,,,,26988,,,21740
Schuyler ,Missouri,2880,795572,12370,1653128,,668247,12600,503815,4950,394511,20540,784746,14200,359086,22082,479981,7830,644697,34416,820843
Scotland ,Missouri,47377,3126149,174469,7540995,4130,1551988,88794,1990003,17802,1749547,165307,4862416,20840,1883211,135037,3574260,20240,1805082,184698,4032360
Scott ,Iowa,7820,4630879,13428,24603018,11980,3704042,,17005085,26643,3481484,36138,26647105,55745,4238994,,20298305,135751,3728045,7689,16303434
Scott ,Minnesota,41436,1914638,17451,7345268,66042,1645558,29024,7476829,51229,1132929,40037,5062035,106017,1640378,23303,6020698,123014,1224824,66011,4951867
Seneca ,Ohio,23930,5979224,1670405,14290542,61326,4873034,1072906,11597076,108159,4412303,2299982,11889753,100410,3339593,2234944,5352899,148869,4705580,2474486,9823046
Shawano ,Wisconsin,185198,1331856,233033,6716188,291420,1000132,240415,8051483,307840,590264,262821,5135601,378202,571693,169919,5460596,573216,257167,57912,4932894
Sheboygan ,Wisconsin,75821,2092071,510311,5397466,90392,1446764,990980,4968541,205341,1066964,947641,6102603,360715,1218822,652682,4790630,478828,653936,599643,3845658
Stearns ,Minnesota,916516,5280674,268801,31850522,1097814,4245428,350628,32318325,1166217,2576730,409522,16663197,1231128,4335648,225418,24941822,1324378,2475137,162366,19100931
Shelby ,Indiana,860,5610646,252293,17404994,,3848156,162275,7339103,,3075463,126311,12572806,18040,3626661,114270,10046651,8000,3580535,369191,11248786
Shelby ,Missouri,6620,4906878,337387,7750261,2000,3139442,389028,1965766,6740,4043449,645495,6281752,23001,3955317,636511,3747476,20321,3228104,967498,4149641
Shelby ,Ohio,3630,4928748,631743,11714864,14418,3971891,752783,9371919,27239,4049943,775337,10461759,21186,2640390,728117,3816399,99055,3381645,997133,7929495
Sherburne ,Minnesota,8168,906445,,4977778,8706,752092,79017,4775248,5985,525074,4847,3671261,19525,936775,19168,4744750,22423,522758,9087,3286101
Shiawassee ,Michigan,40846,3682776,1289577,6558978,36687,3377091,1826314,8058367,115566,2854861,1559401,7213196,143129,2922382,1377520,4957215,104346,2723692,1258481,5023859
Sibley ,Minnesota,46981,7155182,71615,32780760,68054,4325867,65693,28312427,60196,4743265,202187,25894606,146730,5795122,120762,21144219,162793,4638658,152984,15525688
Sioux ,Iowa,29779,10336320,,47842705,27371,7610377,,31479639,91099,8381247,50730,38350146,135501,9660763,26052,34226090,190672,8902457,17243,30278466
Siskiyou ,California,15040,,532536,,,,2143408,,,,1262205,,123564,,730398,,151594,,324537,
Sonoma ,California,46849,,25355,940,25376,,,432,133663,,,,166055,,,,43266,,,
Stanislaus ,California,76451,,48080,453602,457806,,345745,907307,275708,,79567,458177,236897,,305904,286169,99786,,76790,296692
Shelby ,Iowa,33900,8609566,,34986412,25415,5453751,,26620148,30173,6670765,,27840047,67343,6310071,,21596975,163992,5941332,4780,19505889
Vernon ,Missouri,4161,4492418,902966,10040150,7335,1502905,1234226,3247565,4105,1870491,677938,5667114,26215,1365267,896070,3098914,11570,2232884,1150246,2621920
Vernon ,Wisconsin,94569,1753422,49556,8885958,173087,1097776,57059,7480220,212878,902997,52343,6769134,353790,1052101,37727,6989568,341182,304511,3150,5203159
Wabasha ,Minnesota,137758,2236324,7752,13838435,239512,1707822,5620,14193401,366000,1514880,10877,12954828,474320,1827367,8275,11854608,391490,1393788,28049,9797360
Williams ,Ohio,14320,4357949,1079780,8836447,34460,2800143,1031437,5147672,11312,2826193,923106,7481679,12017,2259544,823132,3804509,38636,2785262,1087719,5697342
Winnebago ,Illinois,7446,2783449,231424,14768314,43701,1548044,271347,8551452,58888,1797284,404438,17184400,83304,2296021,221285,10685911,105531,2484030,222564,11967327
Winnebago ,Iowa,14120,5159220,,25994224,15637,3443638,38226,19772568,21140,3691491,,24901961,57207,4296705,,18422254,91816,4018152,,17658385
Winnebago ,Wisconsin,8600,2172999,504765,6409323,44332,1274786,785368,3826034,73053,1092282,903078,5060410,109438,1415666,471651,5143758,179042,1124126,276717,4507584
Winneshiek ,Iowa,179247,3955515,4482,31699749,227584,2987734,6851,21137630,209173,2288899,21630,19188269,598700,3552400,,19416730,573709,2150474,,16210314
Winona ,Minnesota,147608,1780849,5763,13769697,211063,1384940,13124,13314955,348594,1340346,5260,12467321,488382,1578095,14357,11780456,419609,945280,4085,9685707
Wood ,Wisconsin,49627,804627,98729,2631496,96016,776076,70648,3593317,132374,442553,83680,3884825,152101,526249,18462,3665635,236498,202605,8800,3196524
Woodbury ,Iowa,8994,8830982,,35610620,30793,5668874,,24180874,37067,6110792,,29814375,51903,6781590,,24547664,116600,6687367,11210,22263495
Woodford ,Illinois,29930,7073920,211390,26679814,18810,5058700,126935,17902222,29465,4773482,156610,31742053,46531,6359026,146008,20508842,57182,6039048,107063,18238154
Will ,Illinois,46518,5267831,254742,17299747,39009,4293657,442711,11738490,40240,4144049,303824,17828555,49784,4136996,397431,12621361,132243,4643830,488610,17218691
Worth ,Iowa,20184,5164920,,23767324,24644,3791960,,16978056,31487,3696778,,19773356,71314,4446992,,16759104,92860,4002364,,14794429
Wright ,Missouri,9192,,,,2232,,5921,6816,,,5748,4520,2390,,14744,,,,6831,2756
Yellow Medicine ,Minnesota,16857,7603239,265041,30656178,15765,5996722,244983,25010505,9385,5840428,468869,26391710,35040,7418745,513167,24491096,32971,6163215,444565,18964435
Yolo ,California,20273,,1825470,2148728,72334,,2715803,2688902,89952,,2758271,2441796,26071,,2838406,3535209,,,3976196,7303843
Adams ,Ohio,,1414409,81841,1786080,4374,836995,78505,1219889,2705,429819,67522,1459795,1900,413052,69616,475604,9699,296409,101515,1057096
Alexander ,Illinois,,1401912,84247,831143,,1108435,352193,1147934,,784105,132296,1303110,,1384198,154939,774659,,1312235,247677,1106507
Allen ,Ohio,,4076900,553035,10572153,10463,4037189,517704,7763813,14109,3514022,973398,8669760,11114,2626757,962386,4304624,27320,3369354,1194404,8034904
Ashland ,Wisconsin,,19242,,130487,10920,29080,,137553,16355,,,46800,15866,,,102107,41271,,,19579
Atchison ,Missouri,,7487975,,22051918,,4176942,,13811962,,5288055,31735,18256963,5650,3705535,24305,9553427,10296,4394954,32448,12842133
Athens ,Ohio,,123947,36177,372725,,67834,,198065,1760,55525,22600,203992,364,39038,32575,123830,,48295,21301,208645
Wright ,Minnesota,56281,4006310,83628,13076198,209119,3671204,149971,13799479,86319,2358936,222792,8851252,146644,3221162,102131,9632706,167923,2289091,90588,8678763
Wilkin ,Minnesota,9920,6735179,3791610,21100394,15475,6294832,4827561,16897195,20107,4148972,4366032,8166876,46870,5148351,5567872,5054199,61300,4581438,6768471,4155235
Whiteside ,Illinois,23065,5045928,149347,44815629,38325,3361822,114301,38419195,39996,3864863,245246,47338158,89781,5877596,109638,29135017,180565,5326545,108796,28238755
Wexford ,Michigan,10526,,,752546,22253,,11478,295555,15310,,9533,115902,46074,,24302,137107,18416,,2574,227592
Wadena ,Minnesota,67922,616385,24099,2517862,139745,397625,33043,1964635,109994,198259,,1284810,147791,104650,6830,1924412,279478,29164,16567,2133448
Walworth ,Wisconsin,3290,2198218,287743,13402918,11775,1308283,531624,8011896,37727,1749320,674453,15067796,56946,2082241,226814,8393406,122683,2253496,277233,11020671
Wapello ,Iowa,12491,2485588,,9362791,13000,1967194,3531,5517794,9634,1600142,9438,8058194,31505,1800254,8547,6734233,97758,2389575,8940,6540580
Warren ,Illinois,6817,8075416,7496,37465808,13744,6008305,18371,25225515,10822,4927682,54470,29355638,49713,6272646,24809,24231887,97448,5674530,35974,19834715
Warren ,Iowa,3050,3373494,,10404982,18460,2660087,,7781765,11244,2462165,,9684976,60207,2911014,,9917719,74898,3099515,2334,9499440
Waseca ,Minnesota,22777,5390080,5611,23872853,21990,3929852,8870,19510614,54656,4150713,27118,20627059,49179,4288524,15236,15556154,79798,3837064,21641,14978656
Washburn ,Wisconsin,7265,224504,,1415035,11316,157990,36103,1404415,13026,62055,31555,616889,24189,74120,16493,1125790,34458,17721,62990,919772
Washington ,Illinois,5539,7184953,3659836,15140778,,3191913,4188473,2914588,1750,3342590,3535629,12657112,,4292012,2573492,6590657,15400,4426767,3659528,7824286
Washington ,Iowa,15250,5821011,15215,25032161,40748,4404599,14121,17432181,36313,3916825,11826,22074572,123105,4854723,42406,19184935,182591,4900465,41709,15916853
Washington ,Minnesota,43961,933902,,4187419,34410,556235,4925,3914610,35915,329925,,2579780,37736,688910,,3614231,58901,576208,,3173741
Washington ,Ohio,3275,496436,46460,1582669,3639,350712,40677,1104153,8001,149296,33924,1112357,5442,176737,62592,655262,14070,207704,71434,1270401
Washington ,Wisconsin,130469,1291565,365937,4636173,197366,772577,432823,2604277,229474,968748,381210,4373081,308464,947531,286760,3403269,343986,638149,265056,3561699
Washtenaw ,Michigan,15458,2307053,817538,6501058,18702,1195972,892972,3485635,41880,1654080,690950,5577530,49411,1592514,637789,3977955,123129,1443128,985111,5128920
Watonwan ,Minnesota,18478,6046601,12907,26907121,13732,4178251,14334,20342813,13497,4887201,18999,21410628,31519,5476313,17388,19533843,42639,4775639,15347,16077692
Waukesha ,Wisconsin,16564,1101301,195065,4169837,14471,847367,230640,2746450,29966,718143,175712,4073243,83566,912414,107167,3069048,110561,952753,95867,4155815
Waupaca ,Wisconsin,54043,1281801,118123,6026255,101221,778517,109956,5310837,118788,516471,234638,6133102,206620,750310,67709,6086162,312603,339714,40508,6291877
